No,Kode Efek,Nama Emiten,Nama Pemegang Rekening Efek,Nama Pemegang Saham,Nama Rekening Efek,Alamat,Alamat (Lanjutan),Kebangsaan,Domisili,Status (Lokal/Asing),Kepemilikan Per 19-MAY-2026,Col12,Col13,Kepemilikan Per 20-MAY-2026,Col15,Col16,Perubahan
941,KOPI,"MITRA ENERGI PERSADA Tbk, PT","PANIN SEKURITAS Tbk, PT",PT. GLOBAL PERKASA INVESTINDO,PT. GLOBAL PERKASA INVESTINDO,Jl. Danau Sunter Selatan Blok O-IV No. 41-42,,,INDONESIA,L,"49,031,800","49,031,800",7.03,"49,031,800","49,031,800",7.03,0
942,KOPI,"MITRA ENERGI PERSADA Tbk, PT",PT VICTORIA SEKURITAS INDONESIA,PT. Mulya Tara Mandiri,PT MULYA TARA MANDIRI,JL Bangka Raya No 52,Pela Mampang,,INDONESIA,L,"508,001,397","508,001,397",72.86,"508,001,397","508,001,397",72.86,0
943,KOPI,"MITRA ENERGI PERSADA Tbk, PT",PT INA SEKURITAS INDONESIA,"Shizuoka Gas Co., Ltd.","Shizuoka Gas Co., Ltd.","1-5-8 Yahata, Suruga-ku",Shizuoka-shi,,JAPAN,A,"52,295,001","52,295,001",7.50,"52,295,001","52,295,001",7.50,0
944,KOTA,"DMS PROPERTINDO Tbk, PT",PT SUCOR SEKURITAS,DMS INVESTAMA PT,PT. DMS INVESTAMA,GRAHA MAMPANG LOBBY FLOOR,JL. MAMPANG PRAPATAN RAYA NO. 100,,INDONESIA,L,"804,884,529","5,073,541,269",48.11,"804,884,529","5,073,541,269",48.11,0
,KOTA,,PT YUANTA SEKURITAS INDONESIA,,"DMS INVESTAMA, PT",GRAHA MAMPANG LT 1,JL. MAMPANG PRAPATAN NO 100,,INDONESIA,L,"4,268,656,740",,,"4,268,656,740",,,0
945,KPAL,"STEADFAST MARINE Tbk, PT",PT MINNA PADI INVESTAMA SEKURITAS Tbk,EDDY KURNIAWAN LOGAM,EDDY KURNIAWAN LOGAM,JL.TAMAN GOLF TIMUR 1 BLOK B3 NO.3 PIK,RT.004 RW.003 Kel.KAMAL MUARA,INDONESIAN,INDONESIA,L,"212,867,000","212,867,000",19.91,"212,867,000","212,867,000",19.91,0
946,KPAL,"STEADFAST MARINE Tbk, PT",PT BNC SEKURITAS INDONESIA,RUDY KURNIAWAN LOGAM,Rudy Kurniawan Logam,"Jl. Elang Laut VII No. 41, RT004/003, Kamal Muara",PENJARINGAN,INDONESIAN,INDONESIA,L,"130,696,300","130,696,300",12.23,"130,696,300","130,696,300",12.23,0
947,KPAS,"COTTONINDO ARIESTA Tbk, PT",PT RHB SEKURITAS INDONESIA,JEANNY ARIESTINA,JEANNY ARIESTINA,JL SUMBER SUGIH NO 28-4A,RT 005/RW 007 BABAKAN CIPARAY,INDONESIAN,INDONESIA,L,"115,400,000","115,400,000",15.03,"115,400,000","115,400,000",15.03,0
948,KPAS,"COTTONINDO ARIESTA Tbk, PT",PT RHB SEKURITAS INDONESIA,ALBERT YAN KATILI,ALBERT YAN KATILI,JL HOLIS NO 294/4 RT 001/RW 004,"CARINGIN, BANDUNG KULON",INDONESIAN,INDONESIA,L,"50,000,000","50,000,000",6.51,"50,000,000","50,000,000",6.51,0
949,KPAS,"COTTONINDO ARIESTA Tbk, PT",PT RHB SEKURITAS INDONESIA,DRS. HENDRY LIGIONO,DRS HENDRY LIGIONO,JL HOLIS NO 294/4 RT 001/RW 004,"CARINGIN, BANDUNG KULON",INDONESIAN,INDONESIA,L,"65,400,000","65,400,000",8.52,"65,400,000","65,400,000",8.52,0
950,KPAS,"COTTONINDO ARIESTA Tbk, PT",PT RHB SEKURITAS INDONESIA,MARTING DJAPAR,MARTING DJAPAR,JL SUMBER SUGIH NO 28-4A,RT 005/RW 007 BABAKAN CIPARAY,INDONESIAN,INDONESIA,L,"215,000,000","215,000,000",27.99,"215,000,000","215,000,000",27.99,0
951,KPAS,"COTTONINDO ARIESTA Tbk, PT",PT RHB SEKURITAS INDONESIA,STELLA,STELLA,JL SUMBER SUGIH NO 28 4A,RT 005/RW 007 BABAKAN CIPARAY,INDONESIAN,INDONESIA,L,"50,000,000","50,000,000",6.51,"50,000,000","50,000,000",6.51,0
952,KPIG,"MNC LAND Tbk, PT",PT KB VALBURY SEKURITAS,PT. MNC ASIA HOLDING TBK,PT MNC ASIA HOLDING TBK,MNC FINANCIAL CENTER LANTAI 21,JL.KEBON SIRIH NO.21-27,,INDONESIA,L,"494,215,600","18,644,044,380",18.67,"494,215,600","18,644,044,380",18.67,0
,KPIG,,BUT DEUTSCHE BANK AG,,DB HK TAS CLT PT MNC ASIA HOLDING TBK -2059974012,"LEVEL 57,INTERNATIONAL COMMERCE","CENTRE,1 AUSTIN ROAD WEST, KOWLOON,HONG KONG",,INDONESIA,L,"4,337,018,183",,,"4,337,018,183",,,0
,KPIG,,PT. KGI Sekuritas Indonesia,,PT MNC ASIA HOLDING TBK,MNC FINANCIAL CENTER LT. 21,,,INDONESIA,L,"146,836,800",,,"146,836,800",,,0
,KPIG,,PT RHB SEKURITAS INDONESIA,,PT MNC ASIA HOLDING TBK,GEDUNG MNC BANK TOWER LT.21,JL.KEBON SIRIH NO.21-27,,INDONESIA,L,"1,714,906,300",,,"1,714,906,300",,,0
,KPIG,,PT KIWOOM SEKURITAS INDONESIA,,PT MNC ASIA HOLDING TBK,MNC FINANCIAL CENTER LT.21,,,INDONESIA,L,"252,605,300",,,"252,605,300",,,0
,KPIG,,PT MNC SEKURITAS,,PT. MNC ASIA HOLDING TBK,"GEDUNG MNC BANK TOWER LT. 21, JL. KEBON SIRIH NO.21-27",,,INDONESIA,L,"219,220,200",,,"219,220,200",,,0
,KPIG,,PT MNC SEKURITAS,,PT. MNC ASIA HOLDING TBK,"GEDUNG MNC BANK TOWER LT. 21, JL. KEBON SIRIH NO.21-27",,,INDONESIA,L,"11,479,241,997",,,"11,479,241,997",,,0
953,KPIG,"MNC LAND Tbk, PT",PT MNC SEKURITAS,HT INVESTMENT DEVELOPMENT LTD,HT INVESTMENT DEVELOPMENT Ltd.,PALM GROVE HOUSE PO BOX 438,ROAD TOWN TORTOLA BRITISH VIRGIN ISLAND,,BRITISH INDIAN OCEAN TERRITORY,A,"8,779,326,700","8,779,326,700",8.79,"8,779,326,700","8,779,326,700",8.79,0
954,KPIG,"MNC LAND Tbk, PT",PT KAY HIAN SEKURITAS,SMART EMPIRE GROUP LTD,UEMOPBI RKEAY G HRIAONU P(H LOTNDG 4 KONG) LTD (PLEDGE ACCOUNT) - SMART,"Vanterpool Plaza 2nd Floor,","Wickhams Cay I , Road Town, Tortola",,"VIRGIN ISLANDS, BRITISH",A,"6,299,170,800","15,725,026,164",15.75,"6,299,170,800","15,725,026,164",15.75,0
,KPIG,,PT KAY HIAN SEKURITAS,,UEMOPBI RKEAY G HRIAONU P(H LOTNDG 6 KONG) LTD (PLEDGE ACCOUNT) - SMART,"Vanterpool Plaza 2nd Floor,","Wickhams Cay I , Road Town, Tortola",,"VIRGIN ISLANDS, BRITISH",A,"789,700,000",,,"789,700,000",,,0
,KPIG,,PT MNC SEKURITAS,,SMART EMPIRE GROUP LTD,VTAONRTTEORLPAOOL PLAZA 2 FLOOR WICKHAMS CAY I ROAD TOWN,,,"VIRGIN ISLANDS, U.S.",A,"157,155,364",,,"157,155,364",,,0
,KPIG,,PT KAY HIAN SEKURITAS,,UEMOPBI RKEAY G HRIAONU P(H LOTNDG KONG) LTD (PLEDGE ACCOUNT) - SMART,"Vanterpool Plaza 2nd Floor,","Wickhams Cay I , Road Town, Tortola",,"VIRGIN ISLANDS, BRITISH",A,"8,479,000,000",,,"8,479,000,000",,,0
955,KPIG,"MNC LAND Tbk, PT",PT MNC SEKURITAS,PT MNC Sekuritas,PT MNC SEKURITAS,MENARA KEBON SIRIH LT 4 DAN 5,"JL KEBON SIRIH 17-19, KEBON SIRIH - MENTENG",,INDONESIA,L,"1,386,967,000","6,515,254,300",6.52,"1,386,967,000","6,515,254,300",6.52,0
,KPIG,,PT MNC SEKURITAS,,PT MNC SEKURITAS,MENARA KEBON SIRIH LT 4 DAN 5,"JL KEBON SIRIH 17-19, KEBON SIRIH - MENTENG",,INDONESIA,L,"5,128,287,300",,,"5,128,287,300",,,0
956,KPIG,"MNC LAND Tbk, PT",PT MNC SEKURITAS,PT. MNC SEKURITAS,PT MNC SEKURITAS,MENARA KEBON SIRIH LT 4 DAN 5,"JL KEBON SIRIH 17-19, KEBON SIRIH - MENTENG",,INDONESIA,L,"1,386,967,000","6,515,254,300",6.52,"1,386,967,000","6,515,254,300",6.52,0
,KPIG,,PT MNC SEKURITAS,,PT MNC SEKURITAS,MENARA KEBON SIRIH LT 4 DAN 5,"JL KEBON SIRIH 17-19, KEBON SIRIH - MENTENG",,INDONESIA,L,"5,128,287,300",,,"5,128,287,300",,,0
957,KRAH,"GRAND KARTECH Tbk, PT","INVESTINDO NUSANTARA SEKURITAS, PT","ADRINDO INTIPERKASA, PT",PT ADRINDO INTI PERKASA,WISMA ADR JL. PLUIT RAYA I NO 1 RT 013 RW 008,PENJARINGAN,,INDONESIA,L,"48,926,300","48,926,300",5.04,"48,926,300","48,926,300",5.04,0
958,KRAH,"GRAND KARTECH Tbk, PT","INVESTINDO NUSANTARA SEKURITAS, PT",PT SWASTIKA MULIAJAYA,PT. SWASTIKA MULIAJAYA,INDOSURYA LIFE CENTER PENTHOUSE,JL. MH. THAMRIN KAV. 8-9,,INDONESIA,L,"66,625,000","66,625,000",6.86,"66,625,000","66,625,000",6.86,0
959,KRAH,"GRAND KARTECH Tbk, PT","INVESTINDO NUSANTARA SEKURITAS, PT",PT. SWASTIKA MULIAJAYA,PT. SWASTIKA MULIAJAYA,INDOSURYA LIFE CENTER PENTHOUSE,JL. MH. THAMRIN KAV. 8-9,,INDONESIA,L,"66,625,000","66,625,000",6.86,"66,625,000","66,625,000",6.86,0
960,KRAH,"GRAND KARTECH Tbk, PT","INVESTINDO NUSANTARA SEKURITAS, PT",PT.SWASTIKA MULIAJAYA,PT. SWASTIKA MULIAJAYA,INDOSURYA LIFE CENTER PENTHOUSE,JL. MH. THAMRIN KAV. 8-9,,INDONESIA,L,"66,625,000","66,625,000",6.86,"66,625,000","66,625,000",6.86,0
961,KRAH,"GRAND KARTECH Tbk, PT","INVESTINDO NUSANTARA SEKURITAS, PT",ANTONIUS GUNAWAN GHO,Antonius Gunawan Gho,JKLE.PC .MKEATMABHAANRGI AIVN B.6/29 RT.016 RW.009 KEMBANGAN UTARA,JAKARTA-BARAT,INDONESIAN,,L,"52,605,000","52,605,000",5.42,"52,605,000","52,605,000",5.42,0
962,KREN,"QUANTUM CLOVERA INVESTAMA Tbk, PT","SINARMAS SEKURITAS, PT",PT KARUNIA PERDANA ISTENIA,PT KARUNIA PERDANA ISTENIA,18 PARC PLACE SCBD TOWER B LT. 2,JL. JENDERAL SUDIRMAN KAV. 52-53,,INDONESIA,L,"933,400,000","933,400,000",5.13,"933,400,000","933,400,000",5.13,0
963,KREN,"QUANTUM CLOVERA INVESTAMA Tbk, PT",PT KB VALBURY SEKURITAS,"ASURANSI JIWA KRESNA, PT","ASURANSI JIWA KRESNA, PT",18 PARC PLACE SCBD TOWER C LT.9-10,JL.JEND.SUDIRMAN KAV.52-53,,INDONESIA,L,"2,506,467,300","2,506,467,300",13.77,"2,506,467,300","2,506,467,300",13.77,0
964,KRYA,"BANGUN KARYA PERKASA JAYA Tbk, PT",PT KAY HIAN SEKURITAS,GREEN CITY SG PTE LTD,GREEN CITY SG PTE LTD,"60 PAYA LEBAR ROAD, #11-53",PAYA LEBAR SQUARE,,SINGAPORE,A,"162,207,800","162,207,800",9.75,"162,207,800","162,207,800",9.75,0
965,KRYA,"BANGUN KARYA PERKASA JAYA Tbk, PT",PT KOREA INVESTMENT AND SEKURITAS INDONESIA,HOK GWAN (DHARMO BUDIONO),HOK GWAN ( DHARMO BUDIONO ),VILLA BUKIT REGENCY III / PE 1 - 6 A PAKUWON INDAH,RT. 003 RW. 016 LONTAR SAMBIKEREP,INDONESIAN,INDONESIA,L,"166,686,900","166,686,900",10.02,"166,686,900","166,686,900",10.02,0
966,KSIX,"KENTANIX SUPRA INTERNATIONAL Tbk, PT",PT KAY HIAN SEKURITAS,PT BATU KENCANA INDAH,PT BATU KENCANA INDAH,JL LETJEN SUPRAPTO KAV 4,CEMPAKA PUTIH,,INDONESIA,L,"228,053,000","228,053,000",10.67,"228,053,000","228,053,000",10.67,0
967,KSIX,"KENTANIX SUPRA INTERNATIONAL Tbk, PT",PT KAY HIAN SEKURITAS,PT PANCA MUARA JAYA,PT PANCA MUARA JAYA,PLAZA PROPERTY KOMPLEK PERTOKOAN PULOMAS BLK VIII NO 1,JL PERINTIS KEMERDEKAAN,,INDONESIA,L,"251,863,000","251,863,000",11.78,"251,863,000","251,863,000",11.78,0
968,KSIX,"KENTANIX SUPRA INTERNATIONAL Tbk, PT",PT KAY HIAN SEKURITAS,PT BADRA ARTA,PT BADRA ARTA,PLAZA PROPERTY KOMPLEK PERTOKOAN,PULOMAS BLOK VII NO 1,,INDONESIA,L,"1,257,854,000","1,257,854,000",58.84,"1,257,854,000","1,257,854,000",58.84,0
969,LABA,"GREEN POWER GROUP Tbk, PT",PT Yakin Bertumbuh Sekuritas,PT. Longping Investasi Indonesia,PT. Longping Investasi Indonesia,"Centennial Tower Lt. 36 Unit G-H,",Jl. Gatot Subroto Kav. 24-25,,INDONESIA,L,"130,240,600","130,240,600",11.80,"130,240,600","130,240,600",11.80,0
970,LABA,"GREEN POWER GROUP Tbk, PT",PT KAY HIAN SEKURITAS,PT NEV STORED ENERGY,PT NEV STORED ENERGY,CENTRO METRO BROADWAY BLOK A NO 27,PANTAI INDAH KAPUK KEC PENJAARINGAN,,INDONESIA,L,"281,792,900","281,792,900",25.54,"281,792,900","281,792,900",25.54,0
971,LABA,"GREEN POWER GROUP Tbk, PT",PT KAY HIAN SEKURITAS,PT. Nev Stored Energy,PT NEV STORED ENERGY,CENTRO METRO BROADWAY BLOK A NO 27,PANTAI INDAH KAPUK KEC PENJAARINGAN,,INDONESIA,L,"281,792,900","281,792,900",25.54,"281,792,900","281,792,900",25.54,0
972,LAPD,"LEYAND INTERNATIONAL Tbk, PT",PT KB VALBURY SEKURITAS,PT JSI SINERGI MAS,"JSI SINERGI MAS, PT",GEDUNG RECAPITAL JL.ADITYAWARMAN NO.55,KEL.MELAWAI KEC.KEBAYORAN BARU,,INDONESIA,L,"2,022,838,500","2,022,838,500",51.00,"2,022,838,500","2,022,838,500",51.00,0
973,LCGP,"EUREKA PRIMA JAKARTA Tbk, PT","BANK MANDIRI, PT - CUSTODY",PERUSAHAAN PERSEROAN (PERSERO) PT ASABRI,PT.ASABRI ( Persero ),Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"3,365,804","370,093,277",6.57,"3,365,804","370,093,277",6.57,0
,LCGP,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN TNI,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"185,451,195",,,"185,451,195",,,0
,LCGP,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN POLRI,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"101,789,053",,,"101,789,053",,,0
,LCGP,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"79,487,225",,,"79,487,225",,,0
974,LCGP,"EUREKA PRIMA JAKARTA Tbk, PT","BANK MANDIRI, PT - CUSTODY",PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,PT.ASABRI ( Persero ),Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"3,365,804","370,093,277",6.57,"3,365,804","370,093,277",6.57,0
,LCGP,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN TNI,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"185,451,195",,,"185,451,195",,,0
,LCGP,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN POLRI,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"101,789,053",,,"101,789,053",,,0
,LCGP,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"79,487,225",,,"79,487,225",,,0
975,LCGP,"EUREKA PRIMA JAKARTA Tbk, PT","BANK MANDIRI, PT - CUSTODY",DANA PENSIUN BUKIT ASAM,DP Bukit Asam,KINDO SQUARE JALAN DUREN TIGA RAYA BLOK A7 NOMOR 101,JAKARTA SELATAN,,INDONESIA,L,"312,500,000","312,500,000",5.55,"312,500,000","312,500,000",5.55,0
976,LCKM,"LCK GLOBAL KEDATON Tbk, PT",PT MIRAE ASSET SEKURITAS INDONESIA,PT LCK INVESTAMA PRIMA INDONESIA,PT LCK INVESTAMA PRIMA INDONESIA,Gd Graha Mampang Lt.5 Suite 8 Jl.Mampang Prapatan Raya,"No.100 Duren Tiga, Pancoran",,INDONESIA,L,"627,808,000","627,808,000",62.78,"627,808,000","627,808,000",62.78,0
977,LEAD,LOGINDO SAMUDRAMAKMUR Tbk. PT,PT BCA SEKURITAS,PT JALAN TERANG SAMUDRA,PT JALAN TERANG SAMUDRA,O12F1FICE CITYLOFT SUDIRMAN UNIT 10-17 JL K.H. MAS MANSYUR NO,,,INDONESIA,L,"1,345,000,000","1,345,000,000",23.19,"1,345,000,000","1,345,000,000",23.19,0
978,LEAD,LOGINDO SAMUDRAMAKMUR Tbk. PT,PT CGS International Sekuritas Indonesia,MANOJ PITAMBER NANWANI,MANOJ PITAMBER NANWANI,JL GARUDA NO 38/A,KEL KEMAYORAN,INDONESIAN,INDONESIA,L,"249,450,742","294,835,756",5.08,"249,450,742","294,835,756",5.08,0
,LEAD,,PT OCBC SEKURITAS INDONESIA,,MANOJ PITAMBER NANWANI,JL. GARUDA NO.38/A RT.001 RW.004,,INDONESIAN,,L,"45,385,014",,,"45,385,014",,,0
979,LFLO,"IMAGO MULIA PERSADA Tbk, PT",PT CIPTADANA SEKURITAS ASIA,ERLANGGA KSATRIA,ERLANGGA KSATRIA,"JL. PERMATA HIJAU BLOK B/8, TWR 3/9D","RT/RW 008/002, GROGOL UTARA, KEBAYORAN LAMA",INDONESIAN,INDONESIA,L,"19,463,460","319,463,460",24.43,"19,463,460","319,463,460",24.43,0
,LFLO,,BUT DEUTSCHE BANK AG,,ERLANGGA KSATRIA,"BLOK B/8 UNIT 3-09D, JL. RAYA PERMATA HIJAU,","12210, JAKARTA SELATAN, INDONESIA",INDONESIAN,INDONESIA,L,"300,000,000",,,"300,000,000",,,0
980,LIFE,"MSIG LIFE INSURANCE INDONESIA Tbk, PT",BUT DEUTSCHE BANK AG,PT SINAR MAS MULTIARTHA Tbk,U20B9S1 A14G5 S1I1N9GAPORE S/A PT. SINAR MAS MULTIARTHA TBK.-,"MKEELN.KARAMA PTUENKNGO B A7TLIH, FLOOR,JL K.H. FACHRUDIN NUMBER 19","KJAEKCA.TRATNAA,JHAK AABRATNAG 1 K0O25T0A ADM.JKT PUSAT,PROVINCE DKI",,INDONESIA,L,"262,500,000","262,500,000",12.50,"262,500,000","262,500,000",12.50,0
981,LIFE,"MSIG LIFE INSURANCE INDONESIA Tbk, PT",BUT. STANDARD CHARTERED BANK,"MITSUI SUMITOMO INSURANCE CO.,LTD.","MITSUI SUMITOMO INSURANCE CO.,LTD.",9 KANDA SURUGADAI 3-CHOME,"CHIYODA-KU, TOKYO 101-8011",,JAPAN,A,"1,680,000,000","1,680,000,000",80.00,"1,680,000,000","1,680,000,000",80.00,0
982,LINK,"LINK NET Tbk, PT","MANDIRI SEKURITAS, PT",PT XLSMART TELECOM SEJAHTERA TBK,XLSMART TELECOM SEJAHTERA,GEDUNG XLSMART TOWER JL HR. RASUNA SAID KAV 11-12,"BLOK X-5 RT. 007 RW. 002, KUNINGAN TIMUR, SETIABUDI",,INDONESIA,L,"550,316,196","550,316,196",19.22,"550,316,196","550,316,196",19.22,0
983,LINK,"LINK NET Tbk, PT",PT MAYBANK SEKURITAS INDONESIA,AXIATA INVESTMENTS (INDONESIA) SDN.BHD,AXIATA INVESTMENTS (INDONESIA) SDN.BHD,"Level 5, Axiata Tower, 9 Jalan Stesen Sentral 5,Kuala Lumpur Sentral,",,,MALAYSIA,A,"1,986,525,127","1,986,525,127",69.38,"1,986,525,127","1,986,525,127",69.38,0
984,LIVE,"HOMECO VICTORIA MAKMUR Tbk, PT",PT Binaartha Sekuritas,PT. HOMECO GLOBAL INVESTASI,PT HOMECO GLOBAL INVESTASI,WISMA TECHNOPLAST BLOK 1 ABC,JL LAPANGAN BOLA NO 28 JAKARTA BARAT 11530,,INDONESIA,L,"3,614,320,000","3,614,320,000",78.69,"3,614,320,000","3,614,320,000",78.69,0
985,LMAS,"LIMAS INDONESIA MAKMUR Tbk, PT",PT CGS International Sekuritas Indonesia,SUPARMAN TJAHAJA,SUPARMAN TJAHAJA,JL LEMPUK BLOK AA NO 1 AA,KEL PEJAGALAN,INDONESIAN,INDONESIA,L,"10,339,000","58,777,200",7.46,"10,339,000","58,777,200",7.46,0
,LMAS,,"PANIN SEKURITAS Tbk, PT",,SUPARMAN TJAHAJA,"Apartemen CBD Pluit, Tower Padma Lt.20-B",Kel. Penjaringan Kec. Penjaringan,INDONESIAN,INDONESIA,L,"48,438,200",,,"48,438,200",,,0
986,LMAS,"LIMAS INDONESIA MAKMUR Tbk, PT","MANDIRI SEKURITAS, PT",EKA SUHENDRA,EKA SUHENDRA,"KOTA WISATA FLORIDA BLOK O.3 / 24 RT/RW: 002 / 027, KEL: CIA","NGSANA, KEC: GUNUNG PUTRI",INDONESIAN,,L,"36,339,400","51,429,400",6.53,"36,339,400","51,429,400",6.53,0
,LMAS,,"BNI SEKURITAS, PT",,EKA SUHENDRA,KOTA WISATA FLORIDA BLOK O 3/24,002/027,INDONESIAN,INDONESIA,L,"15,090,000",,,"15,090,000",,,0
987,LMAS,"LIMAS INDONESIA MAKMUR Tbk, PT",PT CIPTADANA SEKURITAS ASIA,UPAOCBI FKIACY T HRIUANS T( HLOTDN GO BKOO NITGE)K L BTADC (PHLTEIADRGE ACCOUNT) - MADISON,ITEK BACHTIAR,PERMATA HIJAU BLOK F/73,"RT/RW 019/010, GROGOL UTARA",INDONESIAN,INDONESIA,L,"56,957,850","56,957,850",7.23,"56,957,850","56,957,850",7.23,0
988,LMAX,"LUPROMAX PELUMAS INDONESIA Tbk, PT",PT. STOCKBIT SEKURITAS DIGITAL,AGUS SANUSI,AGUS SANUSI,TAMANSARI PERSADA ORCHID C5 NO 1 RT 002 RW 015,Kel. CIBADAK Kec. TANAH SEREAL,INDONESIAN,INDONESIA,L,"35,478,700","35,478,700",5.46,"35,478,700","35,478,700",5.46,0
989,LMPI,"LANGGENG MAKMUR INDUSTRI Tbk, PT",PT PHILLIP SEKURITAS INDONESIA,PT LANGGENG BAHAGIA,PT LANGGENG BAHAGIA,"JL. RAYA DARMO II , KEL. DR, SOETOMO,",KEC.TEGALSARI,,INDONESIA,L,"132,313,291","132,313,291",13.12,"132,313,291","132,313,291",13.12,0
990,LMPI,"LANGGENG MAKMUR INDUSTRI Tbk, PT",PT BAHANA SEKURITAS,PANGESTU ALIM,PANGESTU ALIM,Imam Bonjol 78 RT/RW 003/012,Kel. Dr. Sutomo Kec. Tegalsari,INDONESIAN,,L,"302,921,271","302,921,271",30.04,"302,921,271","302,921,271",30.04,0
991,LMPI,"LANGGENG MAKMUR INDUSTRI Tbk, PT","MANDIRI SEKURITAS, PT",KKAENUTAONRG APNUSAT DJKN DITJEN KEKAYAAN NEGARA KEMENTRIAN,KKAENUTAONRG APNUSAT DJKN DITJEN KEKAYAAN NEGARA KEMENTRIAN,GEDUNG SYAFRUDDIN PRAWIRANEGARA LT 9 UTARA,JL LAPANGAN BANTENG TIMUR PASAR BARU,,INDONESIA,L,"57,901,002","57,901,002",5.74,"57,901,002","57,901,002",5.74,0
992,LOPI,"LOGISTICSPLUS INTERNATIONAL Tbk, PT",PT SUKADANA PRIMA SEKURITAS,PT SENTRA AMANAH VENTURA,PT SENTRA AMANAH VENTURA,Jl Raya Kavling Polri No.20,"Jagakarsa, Jagakarsa",,INDONESIA,L,"738,449,600","738,449,600",67.13,"738,449,600","738,449,600",67.13,0
993,LPGI,"LIPPO GENERAL INSURANCE Tbk, PT",PT CIPTADANA SEKURITAS ASIA,"INTI ANUGERAH PRATAMA, PT","INTI ANUGERAH PRATAMA, PT",GRAHA LIPPO D/H MENARA ASIA LT.8 JL.BOULEVARD,"DIPONEGORO NO.101, LIPPO VILLAGE KARAWACI",,INDONESIA,L,-,-,-,"543,000,000","543,000,000",18.10,-
994,LPGI,"LIPPO GENERAL INSURANCE Tbk, PT","BANK CIMB NIAGA TBK, PT",PT. HANWHA LIFE INSURANCE INDONESIA,PT. HANWHA LIFE INSURANCE INDONESIA,WORLD TRADE CENTER BUILDING 1 LANTAI 12,JL. JEND SUDIRMAN KAV. 29,,INDONESIA,L,"385,927,000","385,927,000",12.86,"385,927,000","385,927,000",12.86,0
995,LPGI,"LIPPO GENERAL INSURANCE Tbk, PT",PT MIRAE ASSET SEKURITAS INDONESIA,HANWHA GENERAL INSURANCE CO LTD,HANWHA GENERAL INSURANCE CO LTD,56 Yeoui daero Yeongdeungpo-gu Seoul,,,"KOREA, REPUBLIC OF",A,"447,000,000","1,845,000,000",61.50,"447,000,000","1,845,000,000",61.50,0
,LPGI,,PT CIPTADANA SEKURITAS ASIA,,"HANWHA GENERAL INSURANCE CO.,LTD","56, YEOUI-DAERO",YEONGDEUNGPO-GU,,"KOREA, REPUBLIC OF",A,"1,398,000,000",,,"1,398,000,000",,,0
996,LPIN,PT. MULTI PRIMA SEJAHTERA Tbk,PT CIPTADANA SEKURITAS ASIA,PT. MULTIPOLAR TBK,"MULTIPOLAR,PT,TBK",GEDUNG BERITASATU PLAZA LT.7,JL.JEND GATOT SUBROTO KAV 35-36,,INDONESIA,L,"347,246,400","347,246,400",81.71,"347,246,400","347,246,400",81.71,0
997,LPKR,PT. LIPPO KARAWACI Tbk,PT CIPTADANA SEKURITAS ASIA,"PRIMANTARA UTAMA SEJAHTERA, PT","PRIMANTARA UTAMA SEJAHTERA, PT",GEDUNG MENARA ASIA,"JL. BOULEVARD DIPONEGORO LT 8, 101",,INDONESIA,L,"7,371,500,000","7,371,500,000",10.40,"7,371,500,000","7,371,500,000",10.40,0
998,LPKR,PT. LIPPO KARAWACI Tbk,PT CIPTADANA SEKURITAS ASIA,"INTI ANUGERAH PRATAMA, PT","INTI ANUGERAH PRATAMA, PT",GRAHA LIPPO D/H MENARA ASIA LT.8 JL.BOULEVARD,"DIPONEGORO NO.101, LIPPO VILLAGE KARAWACI",,INDONESIA,L,-,-,-,"16,407,774,838","16,407,774,838",23.14,-
